empty_count,longitude,latitude
18,50.450386085935094,30.524547100067142
9,50.45050063818424,30.52432932092009
0,50.45061519043338,30.524111541773035
2,50.450729742682526,30.52389376262598
10,50.45084429493167,30.523675983478928
1,50.450958847180814,30.523458204331874
15,50.45107339942996,30.52324042518482
7,50.4511879516791,30.523022646037766
6,50.45130250392825,30.522804866890713
9,50.45141705617739,30.52258708774366
0,50.45158184958234,30.52247389776916
2,50.451757508676074,30.522413170763514
1,50.45193316776981,30.522352443757867
9,50.452108826863544,30.52229171675222
8,50.45228448595728,30.522230989746575
31,50.45246014505101,30.52217026274093
40,50.45263580414475,30.522109535735282
54,50.45281146323848,30.522048808729636
17,50.45298712233222,30.52198808172399
46,50.45316278142595,30.521927354718343
4,50.45333844051969,30.521866627712697
12,50.4535017075372,30.521748100680377
10,50.45366497455471,30.521629573648056
41,50.453828241572225,30.521511046615736
31,50.45399150858974,30.521392519583415
34,50.45415477560725,30.521273992551095
17,50.45431804262476,30.521155465518774
26,50.454481309642276,30.521036938486453
5,50.45464457665979,30.520918411454133
1,50.4548078436773,30.520799884421812
25,50.454971110694814,30.520681357389492
15,50.455093555427055,30.520474423051503
93,50.4552160001593,30.520267488713515
17,50.45523090797679,30.51998595727611
67,50.455245815794285,30.519704425838704
52,50.45526072361178,30.5194228944013
13,50.455275631429274,30.519141362963893
84,50.45529053924677,30.518859831526488
1,50.45530544706426,30.518578300089082
10,50.455320354881756,30.518296768651677
2,50.45533526269925,30.51801523721427
0,50.455350170516745,30.517733705776866
0,50.45536507833424,30.51745217433946
15,50.45535571063255,30.517170053920086
47,50.45518133729636,30.517100783785818
32,50.455006963960166,30.51703151365155
15,50.45483259062397,30.51696224351728
8,50.45465821728778,30.516892973383012
0,50.454483843951586,30.516823703248743
